Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
211,Kyle Juszczyk\JuszKy00,FB,27.237,2018-12-16,NFL,SFO,,SEA,W 26-23,14,15,Sun,1,1,3,3.00,0,100.0%,3.00
212,Kenneth Dixon\DixoKe00,RB,24.329,2018-12-16,NFL,BAL,,TAM,W 20-12,14,15,Sun,1,1,2,2.00,0,100.0%,2.00
213,MyCole Pruitt\PruiMy00,TE,26.267,2018-12-16,NFL,TEN,@,NYG,W 17-0,14,15,Sun,2,1,2,2.00,0,50.0%,1.00
214,Jordan Thomas\ThomJo05,TE,22.135,2018-12-15,NFL,HOU,@,NYJ,W 29-22,14,15,Sat,1,1,2,2.00,0,100.0%,2.00
215,Royce Freeman\FreeRo00,RB,22.294,2018-12-15,NFL,DEN,,CLE,L 16-17,14,15,Sat,1,1,1,1.00,0,100.0%,1.00
216,Joe Mixon\MixoJo00,HB,22.145,2018-12-16,NFL,CIN,,OAK,W 30-16,14,15,Sun,4,2,1,0.50,0,50.0%,0.25
217,Jacquizz Rodgers\RodgJa00,RB,28.313,2018-12-16,NFL,TAM,@,BAL,L 12-20,14,15,Sun,1,1,1,1.00,0,100.0%,1.00
218,Lee Smith\SmitLe00,TE,31.025,2018-12-16,NFL,OAK,@,CIN,L 16-30,14,15,Sun,1,1,1,1.00,1,100.0%,1.00
219,Derrick Henry\HenrDe00,RB,24.346,2018-12-16,NFL,TEN,@,NYG,W 17-0,14,15,Sun,1,1,0,0.00,0,100.0%,0.00
220,Zach Zenner\ZennZa00,RB,27.094,2018-12-16,NFL,DET,@,BUF,L 13-14,14,15,Sun,4,3,0,0.00,0,75.0%,0.00
221,Ryan Griffin\GrifRy00,TE,28.338,2018-12-15,NFL,HOU,@,NYJ,W 29-22,14,15,Sat,1,1,-1,-1.00,0,100.0%,-1.00
222,Ronald Jones\JoneRo01,RB,21.135,2018-12-16,NFL,TAM,@,BAL,L 12-20,14,15,Sun,2,1,-1,-1.00,0,50.0%,-0.50
223,Kalen Ballage\BallKa00,RB,22.359,2018-12-16,NFL,MIA,@,MIN,L 17-41,14,15,Sun,1,1,-2,-2.00,0,100.0%,-2.00
224,Derek Carr\CarrDe02,QB,27.263,2018-12-16,NFL,OAK,@,CIN,L 16-30,14,15,Sun,1,1,-9,-9.00,0,100.0%,-9.00
