89,Pharoh Cooper\CoopPh00,WR,22.271,LAR,@,ARI,1,6,6.000,0,13,2017
90,Kirk Cousins\CousKi00,QB,29.103,WAS,@,DAL,3,6,2.000,0,13,2017
91,Ted Ginn\GinnTe00,WR,32.235,NOR,,CAR,1,6,6.000,0,13,2017
92,Tarik Cohen\CoheTa00,WR,22.130,CHI,,SFO,2,5,2.500,0,13,2017
93,Brandin Cooks\CookBr00,WR,24.069,NWE,@,BUF,1,5,5.000,0,13,2017
94,Stefon Diggs\DiggSt00,WR,24.004,MIN,@,ATL,1,5,5.000,0,13,2017
95,D.J. Foster\FostD.01,RB,24.011,ARI,,LAR,2,5,2.500,0,13,2017
96,Taylor Gabriel\GabrTa00,WR,26.289,ATL,,MIN,1,5,5.000,0,13,2017
97,ArDarius Stewart\StewAr00,WR,23.360,NYJ,,KAN,3,5,1.670,0,13,2017
98,Elijhaa Penny\PennEl00,RB,24.108,ARI,,LAR,2,4,2.000,1,13,2017
99,Thomas Rawls\RawlTh00,RB,24.122,SEA,,PHI,1,4,4.000,0,13,2017
100,Jalen Richard\RichJa01,RB,24.049,OAK,,NYG,1,4,4.000,0,13,2017
101,Ben Roethlisberger\RoetBe00,QB,35.277,PIT,@,CIN,1,4,4.000,0,13,2017
102,Jesus Wilson\WilsJe00,WR,22.312,TAM,@,GNB,1,4,4.000,0,13,2017
103,Zach Zenner\ZennZa00,RB,26.081,DET,@,BAL,1,4,4.000,0,13,2017
104,Kyle Juszczyk\JuszKy00,FB,26.224,SFO,@,CHI,1,3,3.000,0,13,2017
105,Eddie Lacy\LacyEd00,RB,27.184,SEA,,PHI,1,3,3.000,0,13,2017
106,Alfred Blue\BlueAl00,RB,26.220,HOU,@,TEN,4,2,0.500,0,13,2017
107,Jared Goff\GoffJa00,QB,23.050,LAR,@,ARI,1,2,2.000,0,13,2017
108,Jakeem Grant\GranJa00,WR,25.064,MIA,,DEN,1,2,2.000,0,13,2017
109,Akeem Hunt\HuntAk01,RB,24.284,KAN,@,NYJ,1,2,2.000,0,13,2017
110,Duke Johnson\JohnDu00,RB,24.071,CLE,@,LAC,7,2,0.290,0,13,2017
111,Matthew Stafford\StafMa00,QB,29.299,DET,@,BAL,3,2,0.670,0,13,2017
112,Jay Cutler\CutlJa00,QB,34.218,MIA,,DEN,1,1,1.000,0,13,2017
113,C.J. Ham\HamxC.00,FB,24.134,MIN,@,ATL,1,1,1.000,0,13,2017
114,Cordarrelle Patterson\PattCo00,WR,26.261,OAK,,NYG,2,1,0.500,0,13,2017
115,Matt Ryan\RyanMa00,QB,32.200,ATL,,MIN,1,1,1.000,0,13,2017
116,Derek Carr\CarrDe02,QB,26.250,OAK,,NYG,1,-1,-1.000,0,13,2017
117,Joe Flacco\FlacJo00,QB,32.321,BAL,,DET,1,-1,-1.000,0,13,2017
118,Case Keenum\KeenCa00,QB,29.289,MIN,@,ATL,4,-1,-0.250,0,13,2017
119,J.D. McKissic\McKiJ.00,RB,24.110,SEA,,PHI,1,-1,-1.000,0,13,2017
120,Tom Savage\SavaTo00,QB,27.221,HOU,@,TEN,1,-1,-1.000,0,13,2017
121,Brian Hoyer\HoyeBr00,QB,32.051,NWE,@,BUF,2,-2,-1.000,0,13,2017
122,Philip Rivers\RivePh00,QB,35.360,LAC,,CLE,2,-2,-1.000,0,13,2017
123,Chester Rogers\RogeCh02,WR,23.325,IND,@,JAX,1,-2,-2.000,0,13,2017
124,Drew Brees\BreeDr00,QB,38.322,NOR,,CAR,4,-3,-0.750,0,13,2017
125,Shane Vereen\VereSh00,RB,28.215,NYG,@,OAK,1,-3,-3.000,0,13,2017
126,Andre Ellington\ElliAn00,RB,28.303,HOU,@,TEN,2,-4,-2.000,0,13,2017
127,Chris Moore\MoorCh00,WR,24.170,BAL,,DET,1,-4,-4.000,0,13,2017
128,Marquette King\KingMa00,P,29.038,OAK,,NYG,1,-11,-11.000,0,13,2017
